0	-2.3948
1	-3.99984
2	-19.9608
3	-62.7495
4	-65.2306
5	-67.0181
6	-67.885
7	-68.4579
8	-69.277
9	-69.9696
10	-70.3384
11	-70.8513
12	-71.1637
13	-71.7482
14	-71.6267
15	-71.9907
16	-72.0337
17	-72.9152
18	-73.1332
19	-73.0891
20	-72.9911
21	-72.9543
22	-73.4004
23	-73.5621
24	-73.7869
25	-73.9343
26	-74.0838
27	-73.7913
28	-73.7848
29	-73.5588
30	-73.7202
31	-73.8811
32	-73.8445
33	-73.9541
34	-74.0716
35	-74.504
36	-74.564
37	-74.3415
38	-74.7146
39	-74.4482
40	-74.3056
41	-74.3026
42	-74.2633
43	-74.2429
44	-74.4044
45	-74.4408
46	-74.6987
47	-74.3768
48	-74.3337
49	-74.4867
50	-74.3986
51	-74.6826
52	-74.697
53	-75.0679
54	-75.194
55	-74.5435
56	-74.6075
57	-74.577
58	-74.8037
59	-75.081
60	-74.7491
61	-75.0027
62	-75.4523
63	-75.4586
64	-75.2008
65	-75.0858
66	-74.5776
67	-74.7059
68	-74.6123
69	-74.6838
70	-74.9811
71	-74.8024
72	-75.0788
73	-75.741
74	-75.1065
75	-74.633
76	-74.818
77	-75.0334
78	-75.4118
79	-74.9335
80	-75.2631
81	-74.754
82	-74.5168
83	-74.6918
84	-74.8046
85	-74.9917
86	-75.4881
87	-75.3425
88	-75.0756
89	-74.879
90	-74.9374
91	-74.9434
92	-75.0743
93	-74.7579
94	-75.1281
95	-75.0936
96	-75.0455
97	-75.0437
98	-74.924
99	-74.8209
100	-75.1195
101	-75.1908
102	-74.9006
103	-75.2481
104	-75.5779
105	-75.6021
106	-75.3198
107	-75.1672
108	-75.3197
109	-75.3578
110	-75.2722
111	-75.1628
112	-75.3805
113	-75.1823
114	-75.0696
115	-75.0304
116	-75.4323
117	-75.2888
118	-74.9083
119	-75.2961
120	-75.444
121	-74.8889
122	-75.143
123	-75.0459
124	-75.0918
125	-75.2596
126	-75.0136
127	-74.9752
128	-75.1038
129	-74.9727
130	-75.4587
131	-75.3876
132	-75.1897
133	-75.3398
134	-75.8095
135	-75.9418
136	-75.4032
137	-74.9923
138	-75.1917
139	-75.0617
140	-75.2162
141	-75.5509
142	-75.1593
143	-75.4707
144	-75.6025
145	-75.1562
146	-75.3481
147	-75.3471
148	-75.1585
149	-75.5041
150	-75.0628
151	-75.0565
152	-75.553
153	-75.5179
154	-75.1179
155	-75.0151
156	-75.7096
157	-75.676
158	-75.2022
159	-75.2805
160	-74.584
161	-74.7127
162	-74.9507
163	-75.1921
164	-75.4116
165	-75.0513
166	-75.3924
167	-75.3791
168	-75.0206
169	-75.249
170	-75.5103
171	-75.6572
172	-75.2761
173	-75.0238
174	-75.3947
175	-75.6013
176	-75.3255
177	-75.5236
178	-75.2739
179	-75.1849
180	-75.1914
181	-75.5589
182	-75.5787
183	-75.3676
184	-75.2524
185	-75.4878
186	-75.6157
187	-75.787
188	-75.4418
189	-75.1724
190	-75.2383
191	-75.0402
192	-75.3182
193	-74.9469
194	-75.0165
195	-75.5336
196	-75.768
197	-75.4278
